Day,Net Profit (Accumulated) (SGD)
11,1884646
12,2049751
13,-2549455
14,4735393
15,4727650
16,2449778
17,5862822
18,6007159
19,5278049
20,5243048
21,6498674
22,6574726
23,3919964
24,5300352
25,7443113
26,7967304
27,7362558
28,7102343
29,9914035
30,9976868
31,8433845
32,8516550
33,8806378
34,11516552
35,11139815
36,12200851
37,11060080
38,11061079
39,9847112
40,11478494
41,10997342
42,12780651
43,12110342
44,13264423
45,13386487
46,13560408
47,13623057
48,14256314
49,14309330
50,14307575
51,14323067
52,14899775
53,15610230
54,16214300
55,13742989
56,13693793
57,16264603
58,14906225
59,14989455
60,14999907
61,14036302
62,14597175
63,14602204
64,14631239
65,19709067
66,19733537
67,19792250
68,19861090
69,18847007
70,18959405
71,19590863
72,20227501
73,22049928
74,22110247
75,20479114
76,20572103
77,20649252
78,20237480
79,19630614
80,20419267
81,19669481
82,20293460
83,20373135
84,24622824
85,24734066
86,24763129
87,23010879
88,23038646
89,23754367
90,23720198
