Day,Cash On Hand (Accumulated) (SGD)
11,2751320
12,557951
13,537204
14,5612433
15,3076522
16,3279559
17,6762351
18,6326921
19,6135777
20,6010257
21,4357750
22,4243166
23,4304495
24,5625538
25,8418010
26,7845591
27,4656331
28,4860047
29,7621314
30,7749688
31,7320877
32,7463305
33,8035837
34,10743230
35,11296967
36,11843329
37,10322055
38,10386668
39,10190165
40,11330831
41,9374403
42,10462273
43,10565411
44,11207917
45,12499577
46,12340747
47,12262621
48,12789285
49,12510003
50,12304629
51,11903799
52,12913718
53,11707717
54,11885949
55,11930834
56,10752608
57,12986006
58,12310398
59,11816752
60,9911344
61,10295262
62,10543191
63,10333460
64,10471384
65,15851671
66,15722132
67,15183000
68,14766327
69,14328706
70,15092618
71,14169607
72,15117078
73,16658774
74,16022432
75,14897507
76,15084169
77,14002473
78,14138876
79,13953807
80,15343973
81,14495340
82,14403868
83,14329672
84,18936869
85,19969644
86,19923968
87,19816611
88,19900348
89,20664774
90,20692352
